时间_s,实验电流密度_A_cm2,实验电压_V,模型电压_V,电压相对误差_%,实验平均温度_C,模型平均温度_C,温度相对误差_%,模型最大冰体积分数,模型冰质量_kg_m2,步内耦合迭代次数
0.0,0.006,0.799,0.8219491817259699,2.8722380132628063,-19.99535477911209,-19.99535477911209,0.0,0.0,0.0,1
0.2,0.006,0.799,0.8219589836289753,2.873464784602666,-19.99535477911209,-19.993774512548015,0.007903168418532334,8.468859288890735e-07,8.804226116730808e-09,3
0.4,0.007,0.8,0.8129274352284306,1.6159294035538174,-19.993905207799145,-19.99235453008265,0.007755752067332686,2.58359907847595e-06,2.6859096019835973e-08,3
0.6,0.007,0.8,0.8129904144297063,1.6238018037132846,-19.992502715071993,-19.990841026477113,0.008311558680577464,5.222834125663189e-06,5.429658357039451e-08,3
0.8,0.006,0.8,0.8200073259086587,2.500915738582327,-19.99106601796501,-19.989503025555592,0.007818454543714168,8.63072272174194e-06,8.97249934152292e-08,3
1.0,0.006,0.8,0.8200646377048305,2.5080797131038084,-19.98963334868654,-19.98828401617743,0.006750161374001823,1.2682446703585448e-05,1.3184671593047432e-07,3
1.2,0.007,0.8,0.8111024328144276,1.387804101803447,-19.988242898954383,-19.986892485164304,0.00675604052294565,1.740733111753098e-05,1.8096661429785208e-07,3
1.4,0.007,0.8,0.811210825458531,1.4013531823163645,-19.986818077674656,-19.985388411863738,0.007153043597841894,2.2832718606426108e-05,2.3736894263240585e-07,3
1.6,0.007,0.8,0.811316578024341,1.4145722530426175,-19.985473550325025,-19.98391692199513,0.007788798829179946,2.8911250914805736e-05,3.005613645103205e-07,3
1.8,0.006,0.8,0.8183699695153988,2.2962461894248385,-19.984094614370747,-19.982593213630366,0.007512978542950656,3.552591905607948e-05,3.693274545070023e-07,3
2.0,0.007,0.8,0.8094726997726436,1.1840874715804417,-19.98264301189576,-19.981240232279504,0.0070199903757550254,4.2640476860469614e-05,4.4329039744144213e-07,3
2.2,0.006,0.8,0.8165698685887653,2.071233573595663,-19.981233739111815,-19.97989024719334,0.0067237685921578486,5.0221128704545515e-05,5.220988540124552e-07,3
2.4,0.006,0.8,0.8167127099731091,2.0890887466386285,-19.97982836914474,-19.97868584998841,0.0057183632172552405,5.816351138509029e-05,6.046678643593987e-07,3
2.6,0.006,0.8,0.8168521738577817,2.106521732222713,-19.978465069634865,-19.97745733182782,0.005044120274160073,6.644316960094536e-05,6.90743191171428e-07,3
2.8,0.006,0.8,0.8169882889860443,2.1235361232555263,-19.977105534431615,-19.976230480455456,0.004380284093964846,7.503730144541032e-05,7.800877858264856e-07,3
3.0,0.006,0.8,0.8171211355355812,2.1401419419476433,-19.975673343168808,-19.975006766652797,0.0033369414114829666,8.392464656530355e-05,8.724806256928957e-07,3
3.2,0.006,0.8,0.817250794616025,2.156349327003121,-19.974206805547624,-19.973786264226163,0.002105421885107505,9.308538193889793e-05,9.677156306367829e-07,3
3.4,0.006,0.8,0.8173773454097196,2.1721681762149476,-19.972820922226305,-19.972568973085487,0.0012614599700213904,0.0001025010247032454,1.0656006528149393e-06,3
3.6,0.006,0.8,0.817500865075785,2.1876081344731206,-19.97143886873448,-19.971354888825573,0.0004205000423846336,0.00011215434155115048,1.1659565347657604e-06,3
3.8,0.007,0.8,0.8086712839995612,1.0839104999451483,-19.970022418720248,-19.969996862030996,0.0001279752657063303,0.00012210211661453394,1.2693736043246947e-06,3
4.0,0.006,0.8,0.8157810671820565,1.972633397757051,-19.968648126966286,-19.96867075532444,0.00011331942958136278,0.00013232444277834658,1.3756449071236911e-06,3
4.2,0.006,0.8,0.8159442380272622,1.9930297534077739,-19.967353781243105,-19.9674920865057,0.0006926569444836303,0.0001427299063308418,1.4838201062154314e-06,3
4.4,0.006,0.801,0.8161035336297202,1.8855847228115064,-19.966062995180636,-19.96628941601506,0.0011340284485608283,0.0001533061259919122,1.593770485811919e-06,3
4.6,0.007,0.801,0.8073289955406157,0.7901367716124359,-19.964737756967992,-19.964941100984817,0.0010185158417810316,0.0001641144099577056,1.7061334059203074e-06,3
4.8,0.006,0.801,0.8144688986304383,1.6815104407538337,-19.963416191841873,-19.96362474500674,0.0010446767370039568,0.00017513906932727804,1.8207457647263824e-06,3
5.0,0.007,0.801,0.8057452342636402,0.5924137657478342,-19.962098284320717,-19.962308485414866,0.0010530009979641806,0.00018636547578599008,1.9374554862711532e-06,3
5.2,0.007,0.801,0.8059878051227988,0.6226972687638861,-19.960707765800493,-19.960853509339188,0.0007301521589582635,0.0001978528423654702,2.056878149231428e-06,3
5.4,0.007,0.801,0.806224437490274,0.6522393870504248,-19.95932112290177,-19.959430248322576,0.0005467391407471719,0.00020958352662837985,2.178830342828637e-06,3
5.6,0.007,0.801,0.8064553337245791,0.6810653838425805,-19.958052539033645,-19.95801257218224,0.00020025426491557282,0.0002215410788092592,2.3031410553010588e-06,3
5.8,0.006,0.801,0.8136128278709854,1.574635189885816,-19.956787439576374,-19.956742397706307,0.00022569699759027886,0.00023363730887462537,2.4288934630606055e-06,3
6.0,0.006,0.802,0.8138304525817416,1.4751187757782462,-19.95548786883316,-19.95559098282166,0.000516719957834437,0.00024578998890984784,2.555232724706778e-06,3
6.2,0.005,0.797,0.8222028965659348,3.1622203972314646,-19.954115714078767,-19.95455578368012,0.0022054076846053827,0.0002579224501091662,2.681361791334892e-06,3
6.4,0.01,0.765,0.781378644204204,2.1409992423796056,-19.952086185736107,-19.95289378205004,0.004047678555592357,0.00027032746873623234,2.810324364981871e-06,3
6.6,0.015,0.739,0.7534060476244854,1.949397513462163,-19.948801165481086,-19.94981458369614,0.005080095824534516,0.0002837151419653874,2.949502615872167e-06,3
6.8,0.02,0.718,0.7308890608901923,1.7951338287176006,-19.944201846122212,-19.94543395682183,0.006177788959039352,0.00029874756030322735,3.1057796369123517e-06,3
7.0,0.025,0.699,0.7115207584851581,1.7912386960168958,-19.937825035820026,-19.939717673057487,0.009492696590829327,0.00031604205275617925,3.2855731804532393e-06,3
7.2,0.032,0.682,0.6872811290654177,0.7743591005011241,-19.929496322579922,-19.932251801577365,0.01382613465409648,0.0003363199174870008,3.4963818621948605e-06,3
7.4,0.038,0.667,0.6689130804483141,0.28681865791815053,-19.92003469485607,-19.922899426040544,0.014381155597150485,0.0003603265408221184,3.7459547183867426e-06,3
7.6,0.04,0.653,0.6644182658947799,1.7485858950658344,-19.909472025613894,-19.912632638498593,0.015874920643966027,0.0003883926551570784,4.037730043012987e-06,3
7.8,0.046,0.64,0.6481521789723728,1.2737779644332419,-19.897330862705047,-19.901140870861013,0.019148337946712134,0.0004208266325399992,4.374913671885832e-06,3
8.0,0.05,0.628,0.6387697117389484,1.7149222514248985,-19.88363509283107,-19.88812569655701,0.02258442032845373,0.0004580617018602817,4.762009452539489e-06,3
8.2,0.056,0.616,0.6245046092014032,1.3806183768511637,-19.868254150812646,-19.87355163537643,0.026663060194278578,0.0005005018029541408,5.203216743511248e-06,4
8.4,0.061,0.606,0.6138397749465733,1.293692235408133,-19.851221578230565,-19.857268272722933,0.030460062462855816,0.0005485964191631261,5.703208373619859e-06,4
8.6,0.066,0.595,0.6038640712571395,1.4897598751494967,-19.83252215544735,-19.839471003984556,0.03503764414198629,0.0006026917937251999,6.265583887567178e-06,4
8.8,0.074,0.586,0.5872940425802031,0.22082637887425915,-19.81157153000359,-19.81941085288446,0.03956941461709415,0.0006633293179621308,6.895971589534312e-06,4
9.0,0.078,0.576,0.5811770400999136,0.8987916840127776,-19.7886399100623,-19.797570174841752,0.04512823933346827,0.0007309409302690611,7.598861911077159e-06,4
9.2,0.083,0.568,0.5732186776825985,0.91878128214763,-19.764193545311173,-19.774403475325357,0.05165872308818112,0.0008057108102798157,8.376169583668965e-06,4
9.4,0.09,0.559,0.5614896702598552,0.44537929514403163,-19.738355627919475,-19.749116274025084,0.05451642633486976,0.0008880292420824595,9.231952000689249e-06,4
9.6,0.092,0.551,0.561002741390854,1.8153795627684204,-19.711132557521893,-19.722676219780595,0.05856417547299935,0.0009780415684086175,1.0167720145175988e-05,4
9.8,0.097,0.544,0.5545393870944225,1.9373873335335443,-19.682289826550175,-19.695161645223152,0.06539797343911563,0.0010757376006410647,1.118336809626451e-05,4
10.0,0.102,0.538,0.5485568814955074,1.9622456311351997,-19.651711527514692,-19.665931371817265,0.0723593173178018,0.001181326395494493,1.228106920756075e-05,4
10.2,0.106,0.531,0.5449093183478881,2.619457315986461,-19.619464591518124,-19.63534977768694,0.08096646111170518,0.0012949300243375362,1.3462092533013027e-05,4
10.4,0.113,0.525,0.5361662133629732,2.126897783423464,-19.58555566752341,-19.602811177943124,0.08810324666115436,0.0014168080096219314,1.47291360680296e-05,4
10.6,0.117,0.52,0.5333030767380492,2.558283988086385,-19.54993045199214,-19.568592127538807,0.0954564804846438,0.001547202329156855,1.6084715413914664e-05,4
10.8,0.126,0.513,0.5224304851661835,1.8383012019850875,-19.512346954953415,-19.531978780172324,0.10061232133802833,0.0016864843051150676,1.753269083597624e-05,4
11.0,0.131,0.511,0.5187969536206974,1.525822626359576,-19.473188116194308,-19.49312940509077,0.10240382200117525,0.0018350730090847518,1.9077419002445083e-05,4
11.2,0.134,0.507,0.5185815651310787,2.284332372993819,-19.432962161201402,-19.453393894216106,0.10513957082413379,0.0019929220679285563,2.0718417818185273e-05,4
11.4,0.143,0.504,0.5097603072195849,1.1429180991239822,-19.39104885190491,-19.41136111718683,0.10475073028308236,0.002160279650795909,2.2458267249674272e-05,4
11.6,0.144,0.501,0.512861026397758,2.3674703388738503,-19.34733006577775,-19.368118724267788,0.10744975363194385,0.0023372314464228925,2.4297858117012392e-05,4
11.8,0.15,0.498,0.5092058623342733,2.250173159492639,-19.301939615369232,-19.323855703500897,0.11354344987285073,0.0025236387927282996,2.6235748889203402e-05,4
12.0,0.154,0.495,0.5085162362785618,2.7305527835478385,-19.25513738408463,-19.27800551835233,0.1187638073494176,0.00271959095869575,2.8272867606601017e-05,4
12.2,0.162,0.493,0.5031574455691581,2.060333786847484,-19.206363781584567,-19.230044321196004,0.12329527796480858,0.0029253168821827963,3.041159430717235e-05,4
12.4,0.167,0.49,0.5018422796970936,2.4167917749170647,-19.155564528274223,-19.180065419533037,0.127904824849458,0.0031411028763466764,3.265490550250005e-05,4
12.6,0.172,0.489,0.5007932333123541,2.411704153855656,-19.103318246367817,-19.12872089988798,0.13297508418462228,0.003366997341303646,3.5003304360192706e-05,4
12.8,0.176,0.487,0.5010471388843933,2.884422768869271,-19.049313542595623,-19.076164614878053,0.14095558993445428,0.0036029725526593604,3.745650265744671e-05,4
13.0,0.18,0.486,0.5014574306580409,3.180541287662747,-18.994126214383098,-19.022560109172105,0.14969835657654934,0.003848929808028549,4.00134742842648e-05,4
