工况,时间_s,实验电压_V,模型电压_V,电压相对误差_%,实验温度_C,模型温度_C,温度相对误差_%,模型最大冰体积分数
-20℃,0.0,0.799,0.8219491817259699,2.8722380132628063,-19.99535477911209,-19.99535477911209,0.0,0.0
-20℃,5.0,0.801,0.8057452342636402,0.5924137657478342,-19.962098284320717,-19.962308485414866,0.0010530009979641806,0.00018636547578599008
-20℃,10.0,0.538,0.5485568814955074,1.9622456311351997,-19.651711527514692,-19.665931371817265,0.0723593173178018,0.001181326395494493
-20℃,15.0,0.521,0.5241471210616531,0.6040539465744811,-18.409760826411052,-18.445816392156814,0.19585026707156505,0.006831996290139852
-20℃,20.0,0.599,0.5908927378013801,1.3534661433422208,-17.080544352814105,-17.121174446098507,0.2378735270091587,0.016511728625668073
-20℃,25.0,0.626,0.620144299729394,0.9354153786910546,-15.904148505481075,-15.938922509607153,0.21864738067613967,0.027095916163621274
-20℃,30.0,0.633,0.6240214226728448,1.4184166393610165,-14.273270601666557,-14.342887369771915,0.4877422284506417,0.0398459988790913
-20℃,35.0,0.666,0.6349597702250395,4.66069516140549,-12.665590843111476,-12.7173081372718,0.4083291083767514,0.05529401123703098
-25℃,0.0,0.799,0.8066653418828618,0.9593669440377622,-24.995416484688832,-24.995416484688832,0.0,0.0
-25℃,5.0,0.8,0.8012046999307246,0.15058749134057303,-24.962128058921877,-24.959805358619036,0.009304896991788382,0.00019685284306505764
-25℃,10.0,0.537,0.533202477107287,0.7071737230378152,-24.645266879677138,-24.638401788779618,0.027855615972984797,0.0012681753103556243
-25℃,15.0,0.518,0.5155588782426137,0.4712590265224538,-23.38058274915206,-23.36562856300452,0.06395985210455729,0.007153100818320165
-25℃,20.0,0.592,0.5819968122236454,1.6897276649247568,-22.032555083259656,-21.998798891539025,0.15321051776822195,0.01709442825595622
-25℃,25.0,0.618,0.6105849467201308,1.1998468090403307,-20.84607449451768,-20.774672790435545,0.3425187034657898,0.027938011024756532
-25℃,30.0,0.621,0.6150612620765016,0.9563185061994229,-19.201219651155416,-19.11605082005218,0.443559485546068,0.04105901122309697
-25℃,34.9999999999999,0.644,0.6259023920675869,2.8101875671448924,-17.587998536091806,-17.437537312275964,0.8554766678373623,0.056889541697803137
