x_um,region_id,region,temperature_C,c_h2_mol_m3,c_o2_mol_m3,total_water_kg_m3,vapor_water_kg_m3,liquid_water_kg_m3,ice_water_kg_m3,liquid_fraction,ice_fraction,gas_porosity,d_h2_effective_m2_s,d_o2_effective_m2_s,d_water_effective_m2_s,d_liquid_capillary_m2_s,thermal_conductivity_W_m_K,volumetric_heat_capacity_J_m3_K,temperature_smoothed_C
0.049999999999999996,0,aGDL,-12.194191063005064,46.70769925126113,0.0,1.5506599440873574e-11,1.5506599440873574e-11,0.0,0.0,0.0,0.0,0.8,6.233887163956794e-05,0.0,4.9247708595258666e-05,3.747263986268383e-08,0.3,10184194.96,-12.19290699644042
0.15,0,aGDL,-12.194087135796906,46.707674359567946,0.0,4.651978751537399e-11,4.651978751537399e-11,0.0,0.0,0.0,0.0,0.8,6.233891508652279e-05,0.0,4.9247742918353e-05,3.7472791745131393e-08,0.3,10184194.96,-12.19285628476191
0.25,0,aGDL,-12.193983358831758,46.70764946788522,0.0,7.753295399105636e-11,7.753295399105636e-11,0.0,0.0,0.0,0.0,0.8,6.233895847068124e-05,0.0,4.924777719183817e-05,3.7472943408363014e-08,0.3,10184194.96,-12.192805623156124
0.35,0,aGDL,-12.193879732108314,46.707624576212915,0.0,1.0854609889927124e-10,1.0854609889927124e-10,0.0,0.0,0.0,0.0,0.8,6.233900179204375e-05,0.0,4.9247811415714565e-05,3.7473094852379026e-08,0.3,10184194.96,-12.192755011622735
0.44999999999999996,0,aGDL,-12.193776255625153,46.70759968455102,0.0,1.395592222713688e-10,1.395592222713688e-10,0.0,0.0,0.0,0.0,0.8,6.23390450506109e-05,0.0,4.92478455899826e-05,3.747324607717997e-08,0.3,10184194.96,-12.192704450161411
0.55,0,aGDL,-12.19367292938108,46.70757479289951,0.0,1.7057232413869886e-10,1.7057232413869886e-10,0.0,0.0,0.0,0.0,0.8,6.23390882463831e-05,0.0,4.924787971464265e-05,3.747339708276611e-08,0.3,10184194.96,-12.192653938771825
0.6499999999999999,0,aGDL,-12.193569753374618,46.70754990125835,0.0,2.0158540453261085e-10,2.0158540453261085e-10,0.0,0.0,0.0,0.0,0.8,6.233913137936092e-05,0.0,4.9247913789695134e-05,3.7473547869138045e-08,0.3,10184194.96,-12.192603477453648
0.75,0,aGDL,-12.193466727604573,46.707525009627524,0.0,2.325984634844538e-10,2.325984634844538e-10,0.0,0.0,0.0,0.0,0.8,6.233917444954483e-05,0.0,4.9247947815140404e-05,3.7473698436295956e-08,0.3,10184194.96,-12.19255306620655
0.8499999999999999,0,aGDL,-12.19336385206958,46.707500118007005,0.0,2.636115010255764e-10,2.636115010255764e-10,0.0,0.0,0.0,0.0,0.8,6.23392174569353e-05,0.0,4.924798179097888e-05,3.747384878424038e-08,0.3,10184194.96,-12.192502705030202
0.95,0,aGDL,-12.19326112676822,46.70747522639676,0.0,2.94624517187327e-10,2.94624517187327e-10,0.0,0.0,0.0,0.0,0.8,6.23392604015329e-05,0.0,4.924801571721099e-05,3.747399891297186e-08,0.3,10184194.96,-12.192452393924276
1.05,0,aGDL,-12.193158551699298,46.707450334796775,0.0,3.256375120010534e-10,3.256375120010534e-10,0.0,0.0,0.0,0.0,0.8,6.233930328333805e-05,0.0,4.924804959383705e-05,3.7474148822490574e-08,0.3,10184194.96,-12.192402132888441
1.15,0,aGDL,-12.19305612686145,46.70742544320702,0.0,3.566504854981032e-10,3.566504854981032e-10,0.0,0.0,0.0,0.0,0.8,6.233934610235127e-05,0.0,4.924808342085751e-05,3.747429851279705e-08,0.3,10184194.96,-12.192351921922373
1.25,0,aGDL,-12.192953852253254,46.70740055162747,0.0,3.876634377098235e-10,3.876634377098235e-10,0.0,0.0,0.0,0.0,0.8,6.233938885857314e-05,0.0,4.9248117198272775e-05,3.747444798389182e-08,0.3,10184194.96,-12.192301761025742
1.3499999999999999,0,aGDL,-12.192851727873517,46.707375660058105,0.0,4.186763686675612e-10,4.186763686675612e-10,0.0,0.0,0.0,0.0,0.8,6.233943155200404e-05,0.0,4.9248150926083195e-05,3.747459723577514e-08,0.3,10184194.96,-12.19225165019822
1.4500000000000002,0,aGDL,-12.192749753720875,46.70735076849889,0.0,4.496892784026626e-10,4.496892784026626e-10,0.0,0.0,0.0,0.0,0.8,6.233947418264453e-05,0.0,4.924818460428918e-05,3.7474746268447454e-08,0.3,10184194.96,-12.192201589439476
1.55,0,aGDL,-12.192647929793964,46.70732587694981,0.0,4.807021669464738e-10,4.807021669464738e-10,0.0,0.0,0.0,0.0,0.8,6.233951675049511e-05,0.0,4.9248218232891136e-05,3.7474895081909276e-08,0.3,10184194.96,-12.192151578749186
1.65,0,aGDL,-12.192546256091532,46.70730098541084,0.0,5.117150343303404e-10,5.117150343303404e-10,0.0,0.0,0.0,0.0,0.8,6.233955925555625e-05,0.0,4.9248251811889435e-05,3.7475043676160905e-08,0.3,10184194.96,-12.19210161812702
1.7499999999999998,0,aGDL,-12.19244473261216,46.707276093881944,0.0,5.427278805856077e-10,5.427278805856077e-10,0.0,0.0,0.0,0.0,0.8,6.233960169782847e-05,0.0,4.9248285341284495e-05,3.747519205120295e-08,0.3,10184194.96,-12.192051707572652
1.85,0,aGDL,-12.192343359354652,46.7072512023631,0.0,5.737407057436207e-10,5.737407057436207e-10,0.0,0.0,0.0,0.0,0.8,6.233964407731225e-05,0.0,4.924831882107668e-05,3.747534020703559e-08,0.3,10184194.96,-12.192001847085754
1.95,0,aGDL,-12.192242136317589,46.707226310854296,0.0,6.047535098357237e-10,6.047535098357237e-10,0.0,0.0,0.0,0.0,0.8,6.23396863940081e-05,0.0,4.9248352251266404e-05,3.747548814365948e-08,0.3,10184194.96,-12.191952036665999
