case,time_s,current_A,current_density_A_cm2,temperature_experiment_C,temperature_model_C,voltage_experiment_V,voltage_model_V,temperature_min_C,temperature_max_C,ice_fraction_average,ice_fraction_max,ice_fraction_ccl_average,liquid_fraction_max,gas_porosity_min,gas_porosity_ccl_average,d_h2_effective_average_m2_s,d_o2_effective_average_m2_s,d_o2_effective_ccl_average_m2_s,d_water_cathode_average_m2_s,d_liquid_capillary_cathode_average_m2_s,lambda_pem_average,lambda_pem_min,lambda_pem_max,membrane_water_average_kg_m3,anode_pem_water_flux_kg_m2_s,pem_cathode_water_flux_kg_m2_s,active_area_factor,reversible_voltage_V,activation_loss_V,ohmic_loss_V,concentration_loss_V,limiting_current_A_m2,exchange_current_density_A_m2,hydration_activity_factor,effective_exchange_current_density_A_m2,transport_limited,electrochemical_heat_average_W_m3,phase_change_heat_average_W_m3,current_residual_max_A_m2,water_balance_residual_kg_m2_s,temperature_error_C,voltage_error_V
-20C,0.0,2.0,0.006,-19.99535477911209,-19.999999999999943,0.799,0.8004105944645273,-20.0,-20.0,0.0,0.0,0.0,0.0,0.3916,0.4207,5.8250858666895474e-05,1.131008128078977e-05,4.508498249818243e-06,1.2749546171072103e-05,2.5700596554644503e-08,3.0,3.0,3.0,116.09999999999997,-1.1443590000000278e-08,1.1443590000000278e-08,1.0,1.2587413364496227,0.4569164793598695,0.0014129888211639006,1.27380406196203e-06,256902.0089629809,0.11196583330000066,1.0,0.11196583330000066,False,124809.8081791502,0.0,7.105427357601002e-15,8.470329472543003e-22,-0.00464522088785202,0.0014105944645272928
-20C,0.2,2.1,0.006,-19.99535477911209,-19.998304915415332,0.799,0.8004171282602417,-19.999138324423456,-19.997937485562858,0.0,0.0,0.0,0.0,0.3916,0.4207,5.8251553042643224e-05,1.1310219706501729e-05,4.508530179989924e-06,1.274970221460195e-05,2.5702630791933808e-08,2.9999901433333336,2.9930490326922023,3.0069072829005963,116.09961854699999,-1.1408897065673346e-08,3.088031357249987e-09,1.0,1.2587385890822782,0.4569072134418067,0.0014129733181495962,1.2740620802495447e-06,256851.7078635938,0.11198628595699832,0.999986857842547,0.1119848142155957,False,124808.60821666819,0.0,7.105427357601002e-15,4.235164736271502e-22,-0.0029501363032409245,0.0014171282602416513
-20C,0.4,2.0,0.007,-19.993905207799145,-19.996809947339813,0.8,0.7889797737988764,-19.998026405643714,-19.996203941960545,0.0,0.0,0.0,0.0,0.3916,0.4207,5.825215655412571e-05,1.1310340153099105e-05,4.508566540003176e-06,1.2749837990766265e-05,2.5704398558448797e-08,2.9999838998220048,2.9887445280057627,3.0112251188971073,116.09937692311156,-1.1392256848949339e-08,2.3632402295270117e-09,1.0,1.258737207813773,0.46810750300812676,0.0016484445656924278,1.486441077490531e-06,256852.1229173908,0.11200432690888683,0.9999785332688164,0.11200192254210967,False,148060.65452732978,0.0,1.4210854715202004e-14,1.0587911840678754e-21,-0.0029047395406678334,-0.01102022620112364
-20C,0.6,2.0,0.007,-19.992502715071993,-19.99509136852575,0.8,0.788987763813756,-19.99664670702768,-19.994286307677754,0.0,0.0,0.0,0.0,0.3916,0.4207,5.825284898951201e-05,1.1310477818842945e-05,4.508611265879965e-06,1.2749993177604775e-05,2.5706418265957238e-08,2.999977975573991,2.9862684487644304,3.0137124171510803,116.09914765471345,-1.1382686854384271e-08,2.3719053852508247e-09,1.0,1.2587354520164655,0.468097790260278,0.0016484114473214724,1.4864951101456098e-06,256844.53125297662,0.11202506967456254,0.9999706344220363,0.11202177999364511,False,148058.9425559751,0.0,1.4210854715202004e-14,0.0,-0.002588653453756251,-0.011012236186244029
-20C,0.8,2.1,0.006,-19.99106601796501,-19.993533035924827,0.8,0.8004397317871126,-19.99521179242592,-19.99262387502091,0.0,0.0,0.0,0.0,0.3916,0.4207,5.825347333941632e-05,1.1310601528849722e-05,4.508656406988176e-06,1.2750132632521502e-05,2.5708231955192882e-08,2.999971976587869,2.9855728080295614,3.014410165928558,116.0989154939505,-1.1380003806045135e-08,3.108952320015807e-09,1.0,1.2587340976863113,0.4568801998818131,0.001412891917101931,1.2741002837759157e-06,256848.84805305867,0.11204388139060355,0.9999626359740301,0.1120396949801095,False,124804.45697206381,0.0,7.105427357601002e-15,7.411538288475128e-22,-0.0024670179598160757,0.0004397317871125406
-20C,1.0,2.0,0.006,-19.98963334868654,-19.992247410573782,0.8,0.800445922398371,-19.993864435352748,-19.99135043221193,0.0,0.0,0.0,0.0,0.3916,0.4207,5.825398668015365e-05,1.131070228227449e-05,4.508698011976162e-06,1.2750246209109425e-05,2.5709707816973458e-08,2.9999657364694796,2.9851270286686313,3.014847042205526,116.09867400136886,-1.1378280046715759e-08,3.113519954175827e-09,1.0,1.2587331097681485,0.4568730524517519,0.0014128608409800629,1.2740770455229995e-06,256854.83649299006,0.11205940327155288,0.9999543160752931,0.11205428395821111,False,124803.32003703012,0.0,7.105427357601002e-15,4.499862532288471e-22,-0.002614061887243224,0.00044592239837093484
-20C,1.2,2.0,0.007,-19.988242898954383,-19.990952358210905,0.8,0.7890073727947566,-19.992537521310766,-19.990071176161962,0.0,0.0,0.0,0.0,0.3916,0.4207,5.825450567779031e-05,1.1310803693010441e-05,4.508739263680212e-06,1.2750360526666316e-05,2.5711193522885988e-08,2.9999594951296165,2.983655789963241,3.0163170282264207,116.0984324615161,-1.1372588539521373e-08,2.3854702612427545e-09,1.0,1.2587319700595776,0.468074806620457,0.0016483041905762717,1.4864537876907135e-06,256855.8692709516,0.1120750409832697,0.9999459945999086,0.11206898832584114,False,148054.7410601991,0.0,1.4210854715202004e-14,0.0,-0.0027094592565219955,-0.01099262720524341
-20C,1.4,2.1,0.007,-19.986818077674656,-19.989339571822313,0.8,0.7890148625895539,-19.99106015894975,-19.988403328085184,0.0,0.0,0.0,0.0,0.3916,0.4207,5.8255155806991173e-05,1.131093097793075e-05,4.5087862051850925e-06,1.2750504011485572e-05,2.57130596752472e-08,2.9999535697619417,2.9829163848152183,3.0170535265225187,116.09820314978712,-1.1369732061750665e-08,2.3874273821812192e-09,1.0,1.2587303408970312,0.4680657272690177,0.0016482645328739448,1.4865055857469983e-06,256848.55627251032,0.11209451814945155,0.9999380944530855,0.11208757887699938,False,148053.13626792544,0.0,1.4210854715202004e-14,1.0587911840678754e-22,-0.002521494147657677,-0.010985137410446155
-20C,1.6,1.8,0.007,-19.985473550325025,-19.987760617840763,0.8,0.7890223240286611,-19.98954580488393,-19.986786813914478,0.0,0.0,0.0,0.0,0.3916,0.4207,5.825579099844164e-05,1.1311055201655352e-05,4.508833721372385e-06,1.27506440455024e-05,2.571488055380682e-08,2.9999476448440068,2.9824093462521497,3.0175560894939975,116.09797385546305,-1.1367773679130766e-08,2.390071577249499e-09,1.0,1.2587288840628672,0.46805685039685696,0.0016482231240251203,1.4865133240349614e-06,256848.82111620778,0.11211358976983582,0.999930194952696,0.11210576367539851,False,148051.5375512511,0.0,1.4210854715202004e-14,-3.970466940254533e-22,-0.0022870675157378173,-0.010977675971338918
-20C,1.8,2.2,0.006,-19.984094614370747,-19.98620699300463,0.8,0.8004746046611284,-19.988011147557586,-19.985221501948587,0.0,0.0,0.0,0.0,0.3916,0.4207,5.825641558908627e-05,1.1311177065992139e-05,4.508881655586273e-06,1.2750781419845682e-05,2.5716666556499214e-08,2.9999417195593745,2.983262080487875,3.0166847706203317,116.09774454694777,-1.137107552554273e-08,3.1215323028330195e-09,1.0,1.258727559040085,0.4568389568236833,0.0014127234276447844,1.2741276286525557e-06,256850.76816604394,0.11213235838343015,0.9999222950102098,0.11212364513966681,False,124798.05240383318,0.0,7.105427357601002e-15,3.441071348220595e-22,-0.0021123786338819173,0.00047460466112836386
