time_s,current_A,voltage_V,temperature_C,current_density_A_cm2,case
0.0,2.0,0.799,-19.99535477911209,0.006,-20C
0.2,2.1,0.799,-19.99535477911209,0.006,-20C
0.4,2.0,0.8,-19.993905207799145,0.007,-20C
0.6,2.0,0.8,-19.992502715071993,0.007,-20C
0.8,2.1,0.8,-19.99106601796501,0.006,-20C
1.0,2.0,0.8,-19.98963334868654,0.006,-20C
1.2,2.0,0.8,-19.988242898954383,0.007,-20C
1.4,2.1,0.8,-19.986818077674656,0.007,-20C
1.6,1.8,0.8,-19.985473550325025,0.007,-20C
1.8,2.2,0.8,-19.984094614370747,0.006,-20C
2.0,2.0,0.8,-19.98264301189576,0.007,-20C
2.2,2.1,0.8,-19.981233739111815,0.006,-20C
2.4,2.0,0.8,-19.97982836914474,0.006,-20C
2.6,2.0,0.8,-19.978465069634865,0.006,-20C
2.8,2.0,0.8,-19.977105534431615,0.006,-20C
3.0,2.2,0.8,-19.975673343168808,0.006,-20C
3.2,2.1,0.8,-19.974206805547624,0.006,-20C
3.4,2.0,0.8,-19.972820922226305,0.006,-20C
3.6,2.1,0.8,-19.97143886873448,0.006,-20C
3.8,2.1,0.8,-19.970022418720248,0.007,-20C
4.0,2.0,0.8,-19.968648126966286,0.006,-20C
4.2,1.9,0.8,-19.967353781243105,0.006,-20C
4.4,2.0,0.801,-19.966062995180636,0.006,-20C
4.6,2.0,0.801,-19.964737756967992,0.007,-20C
4.8,2.0,0.801,-19.963416191841873,0.006,-20C
5.0,2.0,0.801,-19.962098284320717,0.007,-20C
5.2,2.2,0.801,-19.960707765800493,0.007,-20C
5.4,2.0,0.801,-19.95932112290177,0.007,-20C
5.6,1.9,0.801,-19.958052539033645,0.007,-20C
5.8,2.0,0.801,-19.956787439576374,0.006,-20C
6.0,2.0,0.802,-19.95548786883316,0.006,-20C
6.2,2.2,0.797,-19.954115714078767,0.005,-20C
6.4,3.7,0.765,-19.952086185736107,0.01,-20C
6.6,5.3,0.739,-19.948801165481086,0.015,-20C
6.8,6.8,0.718,-19.944201846122212,0.02,-20C
7.0,9.3,0.699,-19.937825035820026,0.025,-20C
7.2,11.0,0.682,-19.929496322579922,0.032,-20C
7.4,11.7,0.667,-19.92003469485607,0.038,-20C
7.6,13.3,0.653,-19.909472025613894,0.04,-20C
7.8,14.9,0.64,-19.897330862705047,0.046,-20C
8.0,16.4,0.628,-19.88363509283107,0.05,-20C
8.2,18.2,0.616,-19.868254150812646,0.056,-20C
8.4,19.6,0.606,-19.851221578230565,0.061,-20C
8.6,21.4,0.595,-19.83252215544735,0.066,-20C
8.8,23.8,0.586,-19.81157153000359,0.074,-20C
9.0,25.1,0.576,-19.7886399100623,0.078,-20C
9.2,26.7,0.568,-19.764193545311173,0.083,-20C
9.4,27.8,0.559,-19.738355627919475,0.09,-20C
9.6,29.4,0.551,-19.711132557521893,0.092,-20C
9.8,30.9,0.544,-19.682289826550175,0.097,-20C
10.0,32.7,0.538,-19.651711527514692,0.102,-20C
